Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,Adjusted Proceeds,Proceeds Diff
Trades,Data,Order,Stocks,USD,MARA,2025-05-22 09:30:01,-600.0,16.7,15.65,10020.0,-3.401454,-9643.29289,373.305656,630.0,C,10020.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-05-23 09:30:01,400.0,14.98,14.73,-5992.0,-2.19526,5994.19526,0.0,-100.0,O,-5992.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-05-23 14:20:06,600.0,15.1,14.73,-9060.0,-3.29289,9063.29289,0.0,-222.0,O,-9060.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-05-27 09:30:00,-600.0,15.26,16.44,9156.0,-3.401454,-9561.839931,-409.241385,-708.0,C,9156.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-05-27 14:51:30,500.0,16.18,16.44,-8090.0,-2.744075,8092.744075,0.0,130.0,O,-8090.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-05-27 15:47:10,-500.0,16.3,16.44,8150.0,-2.834545,-7896.197034,250.968421,-70.0,C,8150.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-05-29 12:17:24,500.0,14.795,14.61,-7397.5,-2.75007,7400.25007,0.0,-92.5,O;P,-7397.5,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-06-03 10:27:20,-500.0,15.0,15.33,7500.0,-2.834545,-7516.744075,-19.57862,-165.0,C,7500.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-06-09 10:42:06,500.0,15.6,16.27,-7800.0,-2.744075,7802.744075,0.0,335.0,O,-7800.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-06-09 12:30:29,-500.0,15.8,16.27,7900.0,-2.834545,-7660.744075,236.42138,-235.0,C,7900.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-06-10 10:44:11,-500.0,16.15,16.49,8075.0,-2.834545,-7954.245274,117.920181,-170.0,C,8075.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-06-11 14:04:10,500.0,16.04,16.35,-8020.0,-2.744075,8022.744075,0.0,155.0,O,-8020.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-06-12 09:31:05,500.0,15.8,15.82,-7900.0,-2.744075,7902.744075,0.0,10.0,O;P,-7900.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-06-12 10:07:41,-500.0,16.0,15.82,8000.0,-2.834545,-7480.748871,516.416584,90.0,C,8000.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-06-12 14:13:45,500.0,16.2,15.82,-8100.0,-2.744075,8102.744075,0.0,-190.0,O;P,-8100.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-02 09:35:26,-500.0,16.32,17.8,8160.0,-2.82746,-7846.744075,310.428465,-740.0,C,8160.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-09 13:59:24,500.0,17.955,18.46,-8977.5,-2.739715,8980.239715,0.0,252.5,O,-8977.5,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-09 14:08:12,-500.0,18.1,18.46,9050.0,-2.82746,-7999.217767,1047.954773,-180.0,C,9050.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-09 14:26:27,500.0,17.98,18.46,-8990.0,-2.73699,8992.73699,0.0,240.0,O,-8990.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-09 15:30:02,-500.0,18.11,18.46,9055.0,-2.82746,-7942.815382,1109.357156,-175.0,C;P,9055.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-10 10:29:26,500.0,18.0,19.0,-9000.0,-2.73699,9002.73699,0.0,500.0,O,-9000.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-10 10:46:27,-500.0,18.2,19.0,9100.0,-2.82746,-8277.698203,819.474336,-400.0,C,9100.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-14 09:30:01,-400.0,19.8,19.21,7920.0,-2.261968,-7184.191772,733.54626,236.0,C,7920.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-14 12:12:56,500.0,19.49,19.21,-9745.0,-2.73699,9747.73699,0.0,-140.0,O;P,-9745.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-14 12:23:37,-500.0,19.71,19.21,9855.0,-2.82746,-8992.73699,859.43555,250.0,C;P,9855.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-15 10:59:49,500.0,18.876,18.76,-9438.0,-2.73917,9440.73917,0.0,-58.0,O;P,-9438.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-15 11:02:57,-500.0,19.0,18.76,9500.0,-2.82746,-9002.73699,494.43555,120.0,C;P,9500.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-15 11:10:00,500.0,18.9,18.76,-9450.0,-2.73699,9452.73699,0.0,-70.0,O,-9450.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-15 12:11:18,-500.0,19.1,18.76,9550.0,-2.82746,-9747.73699,-200.56445,170.0,C,9550.0,0.0
