Price,AMZN,GOOG,GPRO,MSFT,NET,NVDA,SE,SPY,TSLA,AAPL,AXP,CMG,GOOGL,IBIT,MARA,NU,ORCL
Ticker,AMZN,GOOG,GPRO,MSFT,NET,NVDA,SE,SPY,TSLA,AAPL,AXP,CMG,GOOGL,IBIT,MARA,NU,ORCL
Date,,,,,,,,,,,,,,,,,
2024-02-27,173.5399932861328,139.27215576171875,2.259999990463257,403.6515808105469,98.25,78.66598510742188,46.72999954223633,497.537841796875,199.72999572753906,181.5336456298828,214.33535766601562,52.90480041503906,138.0520782470703,32.59000015258789,30.309999465942383,11.140000343322754,109.56269073486328
2024-02-28,173.16000366210938,136.617919921875,2.309999942779541,403.8893127441406,97.4800033569336,77.62845611572266,47.75,496.8802795410156,202.0399932861328,180.33090209960938,214.38449096679688,53.43439865112305,135.56695556640625,34.45000076293945,31.030000686645508,11.069999694824219,109.8578109741211
2024-02-29,176.75999450683594,138.95404052734375,2.3399999141693115,409.753662109375,98.54000091552734,79.07681274414062,48.52000045776367,498.66650390625,201.8800048828125,179.6649627685547,215.7512664794922,53.77539825439453,137.6345672607422,35.41999816894531,25.899999618530273,11.079999923706055,109.8578109741211
2024-03-01,178.22000122070312,137.2640838623047,2.369999885559082,411.5962219238281,99.91999816894531,82.24240112304688,51.04999923706055,503.3481140136719,202.63999938964844,178.58148193359375,215.98727416992188,53.77560043334961,136.32241821289062,35.9900016784668,27.0,11.270000457763672,111.92353820800781
2024-03-04,177.5800018310547,133.40701293945312,2.309999942779541,411.02166748046875,100.87999725341797,85.19908905029297,53.900001525878906,502.8083190917969,188.13999938964844,174.04885864257812,215.2498016357422,54.40599822998047,132.55503845214844,38.650001525878906,25.709999084472656,11.140000343322754,112.19896697998047
2024-03-05,174.1199951171875,132.98948669433594,2.2200000286102295,398.866943359375,95.97000122070312,85.92979431152344,55.75,497.7831726074219,180.74000549316406,169.09873962402344,213.568359375,54.226600646972656,131.8790740966797,35.31999969482422,22.260000228881836,11.100000381469727,109.12989044189453
2024-03-06,173.50999450683594,131.7766876220703,2.25,398.3122253417969,97.48999786376953,88.66470336914062,59.220001220703125,500.3055725097656,176.5399932861328,168.104736328125,214.7974853515625,53.802799224853516,130.61663818359375,38.290000915527344,22.6200008392334,11.25,110.43817138671875
2024-03-07,176.82000732421875,134.44085693359375,2.299999952316284,405.2959899902344,100.75,92.63212585449219,59.34000015258789,505.2718200683594,178.64999389648438,167.9854736328125,219.68438720703125,53.80440139770508,133.57888793945312,38.630001068115234,21.799999237060547,11.510000228881836,112.671142578125
2024-03-08,175.35000610351562,135.48464965820312,2.3499999046325684,402.4034118652344,97.98999786376953,87.49317169189453,57.720001220703125,502.23907470703125,175.33999633789062,169.705078125,219.6352081298828,53.7224006652832,134.60275268554688,39.54999923706055,23.479999542236328,11.069999694824219,110.58572387695312
2024-03-11,171.9600067138672,138.11900329589844,2.3399999141693115,400.7193298339844,97.05999755859375,85.7398681640625,58.40999984741211,501.8072509765625,177.77000427246094,171.71295166015625,216.50839233398438,53.251800537109375,136.84925842285156,41.119998931884766,20.639999389648438,11.550000190734863,112.26782989501953
2024-03-12,175.38999938964844,138.7949676513672,2.25,411.3782653808594,96.75,91.87643432617188,58.02000045776367,507.205322265625,177.5399932861328,172.19007873535156,218.92724609375,54.396400451660156,137.67431640625,40.72999954223633,20.190000534057617,11.40999984741211,125.45904541015625
2024-03-13,176.55999755859375,139.93820190429688,2.2200000286102295,411.1999816894531,95.9000015258789,90.8518295288086,60.56999969482422,506.4103088378906,169.47999572753906,170.10269165039062,219.08456420898438,54.453800201416016,138.95663452148438,41.95000076293945,19.700000762939453,11.59000015258789,123.47199249267578
2024-03-14,178.75,143.48707580566406,2.140000104904175,421.2248840332031,94.20999908447266,87.90901184082031,60.75,505.4092102050781,162.5,171.96144104003906,216.78372192382812,54.970401763916016,142.2469024658203,39.5099983215332,18.229999542236328,11.619999885559082,123.48182678222656
2024-03-15,174.4199981689453,141.3299102783203,2.2200000286102295,412.5075988769531,91.5999984741211,87.80204772949219,58.130001068115234,501.9388122558594,163.57000732421875,171.58372497558594,214.8073272705078,55.12779998779297,140.3383331298828,39.38999938964844,19.31999969482422,11.609999656677246,123.49166107177734
2024-03-18,174.47999572753906,147.6026153564453,2.1700000762939453,413.39910888671875,94.63999938964844,88.41980743408203,57.849998474121094,504.9219055175781,173.8000030517578,172.67713928222656,217.27537536621094,55.47060012817383,146.79957580566406,38.13999938964844,19.40999984741211,11.789999961853027,125.71479797363281
2024-03-19,175.89999389648438,147.04592895507812,2.140000104904175,417.4507141113281,95.16999816894531,89.3624267578125,55.9900016784668,507.7278137207031,171.32000732421875,175.02296447753906,217.9833221435547,55.95119857788086,146.15345764160156,36.70000076293945,19.31999969482422,11.850000381469727,127.08211517333984
2024-03-20,178.14999389648438,148.79551696777344,2.3299999237060547,421.2348327636719,97.9800033569336,90.33604431152344,55.9900016784668,512.4239501953125,175.66000366210938,177.597412109375,224.0993194580078,57.900001525878906,147.853271484375,37.54999923706055,22.43000030517578,12.130000114440918,127.13130187988281
2024-03-21,178.14999389648438,147.86109924316406,2.3299999237060547,425.3359069824219,96.41000366210938,91.39861297607422,54.54999923706055,514.1173095703125,172.82000732421875,170.3412322998047,225.28909301757812,58.09960174560547,146.72006225585938,37.150001525878906,21.780000686645508,12.239999771118164,126.90504455566406
2024-03-22,178.8699951171875,150.87318420410156,2.319999933242798,424.71185302734375,96.56999969482422,94.25148010253906,54.470001220703125,513.1426391601562,170.8300018310547,171.24578857421875,222.18191528320312,57.64080047607422,149.87118530273438,36.40999984741211,20.8700008392334,12.25,125.7049560546875
2024-03-25,179.7100067138672,150.2568359375,2.2699999809265137,418.88702392578125,96.08000183105469,94.96419525146484,54.650001525878906,511.7250061035156,172.6300048828125,169.82437133789062,222.250732421875,58.06880187988281,149.1753387451172,40.54999923706055,20.950000762939453,12.170000076293945,124.02286529541016
2024-03-26,178.3000030517578,150.80360412597656,2.2100000381469727,417.68841552734375,99.06999969482422,92.524169921875,55.560001373291016,510.77978515625,177.6699981689453,168.6912078857422,220.70700073242188,59.110599517822266,149.77175903320312,39.630001068115234,20.3799991607666,12.229999542236328,124.40648651123047
2024-03-27,179.8300018310547,151.0421905517578,2.2300000190734863,417.4704895019531,96.55000305175781,90.2140884399414,53.56999969482422,515.0723266601562,179.8300018310547,172.2696075439453,223.94200134277344,58.469200134277344,149.97056579589844,39.130001068115234,22.06999969482422,11.949999809265137,123.22606658935547
